Time,__comm,__cpu,__pid,current_temperature,delta_temperature,granted_power0,granted_power1,granted_power2,max_allocatable_power,power_range,req_power0,req_power1,req_power2,thermal_zone_id,total_granted_power,total_req_power
0.00231299999996,kworker/4:1,4,51,68775,3225,1937,1344,607,3888,3888,1498,428,594,0,3888,2520
0.101001,kworker/4:1,4,51,68769,3231,1937,1344,607,3888,3888,1574,405,618,0,3888,2597
0.200957,kworker/4:1,4,51,68803,3197,1937,1344,607,3888,3888,1709,434,610,0,3888,2753
0.301782,kworker/4:1,4,51,68863,3137,1937,1344,607,3888,3888,1593,516,594,0,3888,2703
0.402781,kworker/4:1,4,51,68886,3114,1937,1344,607,3888,3888,1484,597,656,0,3888,2737
0.500623,kworker/4:1,4,51,68931,3069,1937,1344,607,3888,3888,1488,469,560,0,3888,2517
0.6108,kworker/4:1,4,51,68949,3051,1937,1344,607,3888,3888,1700,434,598,0,3888,2732
0.712342,kworker/4:1,4,51,68969,3031,1937,1344,607,3888,3888,1609,568,642,0,3888,2819
0.811422,kworker/4:1,4,51,68947,3053,1937,1344,607,3888,3888,1294,545,632,0,3888,2471
0.912059,kworker/4:1,4,51,68945,3055,1937,1344,607,3888,3888,1333,440,604,0,3888,2377
1.009528,kworker/4:1,4,51,68953,3047,1937,1344,607,3888,3888,1776,475,580,0,3888,2831
1.109529,kworker/4:1,4,51,68975,3025,1937,1344,607,3888,3888,1759,527,678,0,3888,2964
1.210645,kworker/4:1,4,51,68990,3010,1937,1344,607,3888,3888,1677,551,676,0,3888,2904
1.311043,kworker/4:1,4,51,69007,2993,1937,1344,607,3888,3888,1725,434,590,0,3888,2749
1.409823,kworker/4:1,4,51,69006,2994,1944,1351,613,3908,3908,1735,482,634,0,3908,2851
1.511997,kworker/4:1,4,51,69008,2992,1944,1351,613,3908,3908,1633,663,664,0,3908,2960
1.623023,kworker/4:1,4,51,68968,3032,1937,1344,607,3888,3888,1574,382,606,0,3888,2562
1.719542,kworker/4:1,4,51,69003,2997,1937,1344,607,3888,3888,1776,761,592,0,3888,3129
1.820397,kworker/4:1,4,51,69003,2997,1944,1351,613,3908,3908,1764,680,570,0,3908,3014
1.920024,kworker/4:1,4,51,69052,2948,1944,1351,613,3908,3908,1784,791,496,0,3908,3071
2.020062,kworker/4:1,4,51,69103,2897,1944,1351,613,3908,3908,1784,744,596,0,3908,3124
2.119872,kworker/4:1,4,51,69116,2884,1944,1351,613,3908,3908,1783,569,534,0,3908,2886
2.220457,kworker/4:1,4,51,69151,2849,1944,1351,613,3908,3908,1731,878,608,0,3908,3217
2.321287,kworker/4:1,4,51,69153,2847,1944,1351,613,3908,3908,1784,441,606,0,3908,2831
2.420067,kworker/4:1,4,51,69183,2817,1944,1351,613,3908,3908,1730,657,614,0,3908,3001
2.520538,kworker/4:1,4,51,69223,2777,1944,1332,613,3908,3888,1729,797,508,0,3889,3034
2.620454,kworker/4:1,4,51,69241,2759,1944,1323,613,3908,3879,1776,593,532,0,3880,2901
2.719456,kworker/4:1,4,51,69293,2707,1944,1297,613,3908,3853,1741,511,620,0,3854,2872
2.819211,kworker/4:1,4,51,69305,2695,1944,1292,613,3908,3847,1731,715,644,0,3849,3090
2.921362,kworker/4:1,4,51,69317,2683,1944,1285,613,3908,3841,1735,424,618,0,3842,2777
3.019654,kworker/4:1,4,51,69343,2657,1944,1280,604,3908,3828,1732,715,426,0,3828,2873
3.120317,kworker/4:1,4,51,69331,2669,1944,1278,613,3908,3834,1746,902,546,0,3835,3194
3.221311,kworker/4:1,4,51,69378,2622,1944,1256,613,3908,3811,1784,569,500,0,3813,2853
3.319992,kworker/4:1,4,51,69432,2568,1944,1229,613,3908,3784,1736,488,638,0,3786,2862
3.419798,kworker/4:1,4,51,69467,2533,1944,1211,613,3908,3766,1740,861,558,0,3768,3159
3.521621,kworker/4:1,4,51,69467,2533,1944,1225,598,3908,3766,1769,692,430,0,3767,2891
3.62458,kworker/4:1,4,51,69494,2506,1944,1197,613,3908,3753,1784,896,580,0,3754,3260
3.721892,kworker/4:1,4,51,69505,2495,1944,1203,601,3908,3747,1784,715,456,0,3748,2955
3.820127,kworker/4:1,4,51,69535,2465,1944,1177,613,3908,3732,1748,937,558,0,3734,3243
3.921014,kworker/4:1,4,51,69585,2415,1944,1152,613,3908,3707,1784,593,518,0,3709,2895
4.019131,kworker/4:1,4,51,69619,2381,1944,1135,613,3908,3690,1738,738,582,0,3692,3058
4.119064,kworker/4:1,4,51,69659,2341,1944,1114,613,3908,3670,1784,569,644,0,3671,2997
4.221573,kworker/4:1,4,51,69662,2338,1944,1114,613,3908,3669,1739,517,512,0,3671,2768
4.320759,kworker/4:1,4,51,69668,2332,1944,1111,613,3908,3666,1720,482,646,0,3668,2848
4.421138,kworker/4:1,4,51,69705,2295,1944,1092,613,3908,3647,1734,750,610,0,3649,3094
4.521157,kworker/4:1,4,51,69726,2274,1944,1082,613,3908,3637,1784,435,616,0,3639,2835
4.619317,kworker/4:1,4,51,69728,2272,1944,1080,613,3908,3636,1677,459,632,0,3637,2768
4.721154,kworker/4:1,4,51,69712,2288,1944,1088,613,3908,3644,1733,709,722,0,3645,3164
4.820731,kworker/4:1,4,51,69681,2319,1944,1103,613,3908,3659,1723,429,606,0,3660,2758
4.9217,kworker/4:1,4,51,69634,2366,1944,1127,613,3908,3683,1687,435,600,0,3684,2722
5.024699,kworker/4:1,4,51,69605,2395,1944,1141,613,3908,3697,1594,633,706,0,3698,2933
5.121002,kworker/4:1,4,51,69549,2451,1944,1170,613,3908,3725,1581,453,622,0,3727,2656
5.220197,kworker/4:1,4,51,69546,2454,1944,1172,613,3908,3727,1581,464,578,0,3729,2623
5.320066,kworker/4:1,4,51,69522,2478,1944,1183,613,3908,3739,1679,639,608,0,3740,2926
5.420024,kworker/4:1,4,51,69509,2491,1944,1189,613,3908,3745,1700,552,654,0,3746,2906
5.530394,kworker/4:1,4,51,69515,2485,1944,1186,613,3908,3742,1691,429,556,0,3743,2676
5.631091,kworker/4:1,4,51,69509,2491,1944,1190,613,3908,3745,1456,569,628,0,3747,2653
5.730603,kworker/4:1,4,51,69468,2532,1941,1213,613,3908,3766,1314,575,672,0,3767,2561
5.830799,kworker/4:1,4,51,69483,2517,1944,1202,613,3908,3758,1784,447,584,0,3759,2815
5.929559,kworker/4:1,4,51,69468,2532,1944,1211,613,3908,3766,1694,488,642,0,3768,2824
6.030388,kworker/4:1,4,51,69456,2544,1944,1216,613,3908,3772,1740,610,672,0,3773,3022
6.141097,kworker/4:1,4,51,69440,2560,1944,1224,613,3908,3780,1681,412,576,0,3781,2669
6.251705,kworker/4:1,4,51,69415,2585,1944,1237,613,3908,3792,1690,587,676,0,3794,2953
6.351247,kworker/4:1,4,51,69408,2592,1944,1240,613,3908,3796,1746,505,594,0,3797,2845
6.460255,kworker/4:1,4,51,69440,2560,1944,1225,613,3908,3780,1784,499,614,0,3782,2897
6.560947,kworker/4:1,4,51,69397,2603,1944,1246,613,3908,3801,1667,581,634,0,3803,2882
6.661554,kworker/4:1,4,51,69413,2587,1944,1237,613,3908,3793,1567,441,602,0,3794,2610
